a	ə	[a:ə]
a's	ˈeɪz	ˈ[a:eɪ|'s:z]
aa	ˌeɪˈeɪ	ˌ[a:eɪ].ˈ[a:eɪ]
aaai	ˌtrɪpəˌleɪˈaɪ	ˌ[a:tr|a:ɪp].[a:əl].ˌ[i:eɪaɪ]
aaberg	ˈɑːbərɡ	ˈ[aa:ɑː].[b:b|er:ər|g:ɡ]
aachen	ˈɑːkən	ˈ[aa:ɑː].[ch:k|e:ə|n:n]
aachener	ˈɑːkənər	ˈ[aa:ɑː].[ch:k|e:ə].[n:n|er:ər]
aah	ˈɑː	ˈ[aah:ɑː]
aaker	ˈɑːkər	ˈ[aa:ɑː].[k:k|er:ər]
aaliyah	ˌɑːˈliːˌɑː	ˌ[aa:ɑː].ˈ[l:l|iy:iː].ˌ[ah:ɑː]
aalseth	ˈɑːlseθ	ˈ[aa:ɑː|l:l].[s:s|e:e|th:θ]
aamodt	ˈɑːmət	ˈ[aa:ɑː].[m:m|o:ə|dt:t]
aancor	ˈɑːnˌkɔːr	ˈ[aa:ɑː|n:n].ˌ[c:k|o:ɔː|r:r]
aardema	ɑːrˈdemə	[aa:ɑː|r:r].ˈ[d:d|e:e].[m:m|a:ə]
aardvark	ˈɑːrdˌvɑːrk	ˈ[aa:ɑː|r:r|d:d].ˌ[v:v|a:ɑː|r:r|k:k]
aardvarks	ˈɑːrdˌvɑːrks	ˈ[aa:ɑː|r:r|d:d].ˌ[v:v|a:ɑː|r:r|k:k|s:s]
aargh	ˈɑːrɡ	ˈ[aa:ɑː|r:r|gh:ɡ]
aarhus	ˌɑːˈhuːs	ˌ[aar:ɑː].ˈ[h:h|u:uː|s:s]
aaron	ˈerən	ˈ[a:e].[ar:r|o:ə|n:n]
aaron's	ˈerənz	ˈ[a:e].[ar:r|o:ə|n:n|'s:z]
aarons	ˈerənz	ˈ[a:e].[ar:r|o:ə|n:n|s:z]
aaronson	ˈerənsən	ˈ[a:e].[ar:r|o:ə|n:n].[s:s|o:ə|n:n]
aaronson's	ˈerənsənz	ˈ[a:e].[ar:r|o:ə|n:n].[s:s|o:ə|n:n|'s:z]
aarti	ˈɑːrˌtiː	ˈ[aa:ɑː|r:r].ˌ[t:t|i:iː]
aase	ˈɑːs	ˈ[aa:ɑː|se:s]
aasen	ˈɑːsən	ˈ[aa:ɑː].[s:s|e:ə|n:n]
ab	ˈæb	ˈ[a:æ|b:b]
aba	ˌeɪˌbiːˈeɪ	ˌ[a:eɪ].ˌ[b:b|a:iːeɪ]
ababa	əˈbɑːbə	[a:ə].ˈ[b:b|a:ɑː].[b:b|a:ə]
abacha	ˈæbəkə	ˈ[a:æ].[b:b|a:ə].[ch:k|a:ə]
aback	əˈbæk	[a:ə].ˈ[b:b|a:æ|ck:k]
